id	q	a	lv	sex_m	sex_w	age_18_39	age_40_64	age_o65	race_w	race_b	race_h	race_o	party_r	party_d	party_o	ideology_c	ideology_m	ideology_l	ideology_ns	edu_ahs	edu_ghs	edu_ac	edu_gc	edu_gs	married_y	married_n	children_y	children_n	income_u30	income_30_50	income_50_100	income_100_200	income_o200	income_ns	issue_ts	issue_ej	issue_e	issue_t	issue_ib	issue_h	issue_s	issue_o	issue_ns	notes
1	Most Important Issue Facing Texas?	Taxes and spending	0.08	0.09	0.08	0.09	0.08	0.08	0.08	0.05	0.11	0.06	0.12	0.05	0.07	0.11	0.09	0.02	0.09	0.05	0.12	0.08	0.10	0.06	0.08	0.08	0.08	0.08	0.07	0.06	0.09	0.07	0.15	0.11	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Economy and jobs	0.18	0.19	0.16	0.21	0.18	0.13	0.16	0.31	0.16	0.20	0.17	0.21	0.14	0.16	0.19	0.18	0.32	0.19	0.17	0.17	0.17	0.19	0.17	0.19	0.16	0.18	0.17	0.25	0.17	0.17	0.09	0.12	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Education	0.13	0.12	0.14	0.13	0.13	0.14	0.13	0.15	0.14	0.06	0.07	0.21	0.14	0.08	0.15	0.24	0.07	0.09	0.05	0.09	0.14	0.21	0.13	0.14	0.18	0.12	0.09	0.11	0.15	0.17	0.16	0.12	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Transportation	0.02	0.03	0.02	0.03	0.02	0.02	0.02	0.01	0.04	0.09	0.01	0.03	0.04	0.01	0.04	0.02	0.02	0.04	0.01	0.02	0.03	0.03	0.01	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Immigration and border security	0.33	0.35	0.32	0.26	0.34	0.39	0.37	0.15	0.29	0.33	0.49	0.10	0.35	0.48	0.23	0.12	0.18	0.34	0.36	0.40	0.34	0.25	0.37	0.28	0.28	0.35	0.32	0.34	0.32	0.32	0.31	0.42	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Health care	0.14	0.12	0.16	0.14	0.14	0.12	0.13	0.15	0.17	0.12	0.07	0.24	0.13	0.07	0.21	0.21	0.08	0.23	0.19	0.11	0.12	0.14	0.13	0.15	0.15	0.14	0.19	0.13	0.12	0.15	0.06	0.14	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Social issues	0.07	0.07	0.07	0.07	0.06	0.08	0.07	0.13	0.04	0.12	0.04	0.12	0.06	0.05	0.05	0.14	0.05	0.07	0.08	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.06	0.06	0.07	0.17	0.03	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Some other issue	0.02	0.02	0.02	0.02	0.03	0.01	0.02	0.03	0.02	0.00	0.01	0.02	0.04	0.01	0.02	0.04	0.07	0.00	0.00	0.04	0.01	0.03	0.02	0.02	0.03	0.02	0.02	0.01	0.02	0.01	0.00	0.02	~	~	~	~	~	~	~	~	~	~
1	Most Important Issue Facing Texas?	Not sure	0.03	0.02	0.03	0.04	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.12	0.00	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.01	0.03	0.01	0.03	0.02	~	~	~	~	~	~	~	~	~	~
2	How satisfied with health care sysem in US?	Very satisfied	0.12	0.15	0.09	0.11	0.11	0.15	0.11	0.20	0.10	0.12	0.08	0.19	0.10	0.10	0.12	0.16	0.11	0.30	0.11	0.09	0.11	0.13	0.11	0.14	0.11	0.12	0.17	0.12	0.09	0.11	0.13	0.13	0.13	0.15	0.16	0.17	0.06	0.12	0.17	0.18	0.19	~
2	How satisfied with health care sysem in US?	Somewhat satisfied	0.31	0.29	0.33	0.33	0.29	0.32	0.30	0.44	0.31	0.16	0.20	0.43	0.33	0.21	0.39	0.44	0.29	0.39	0.37	0.22	0.32	0.34	0.29	0.34	0.36	0.29	0.25	0.33	0.31	0.32	0.32	0.36	0.28	0.31	0.48	0.38	0.23	0.31	0.33	0.28	0.35	~
2	How satisfied with health care sysem in US?	Not very satisfied	0.31	0.32	0.31	0.31	0.32	0.31	0.31	0.25	0.37	0.31	0.36	0.27	0.29	0.33	0.32	0.26	0.30	0.20	0.24	0.36	0.30	0.34	0.33	0.28	0.27	0.33	0.32	0.29	0.33	0.32	0.36	0.22	0.30	0.38	0.23	0.19	0.33	0.31	0.30	0.24	0.22	~
2	How satisfied with health care sysem in US?	Not at all satisfied	0.24	0.23	0.25	0.23	0.27	0.19	0.26	0.11	0.20	0.40	0.34	0.09	0.27	0.33	0.17	0.13	0.23	0.09	0.25	0.32	0.25	0.18	0.25	0.22	0.24	0.24	0.24	0.25	0.24	0.25	0.18	0.26	0.28	0.14	0.11	0.16	0.36	0.24	0.17	0.31	0.17	~
2	How satisfied with health care sysem in US?	Not sure	0.02	0.01	0.02	0.02	0.01	0.03	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.07	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.01	0.02	0.00	0.00	0.04	0.00	0.02	0.01	0.11	0.01	0.02	0.03	0.00	0.07	~
